kangourou|kangourou|noun|2|file:///sdcard/acc_icons/2313_2.png.64x64_q85.png|fr|2|2
fatigué|fatigue|adjective|4|file:///sdcard/acc_icons/2314_2.png.64x64_q85.png|fr|16|16
épuisé|epuise|adjective|4|file:///sdcard/acc_icons/2314_2.png.64x64_q85.png|fr|16|16
fatiguer|fatiguer|verb|3|file:///sdcard/acc_icons/2314_2.png.64x64_q85.png|fr|16|16
épuiser|epuiser|verb|3|file:///sdcard/acc_icons/2314_2.png.64x64_q85.png|fr|16|16
chanter|chanter|verb|3|file:///sdcard/acc_icons/2315_2.png.64x64_q85.png|fr|19|19
musique|musique|noun|2|file:///sdcard/acc_icons/2315_2.png.64x64_q85.png|fr|19|19
viande|viande|noun|2|file:///sdcard/acc_icons/2316_2.png.64x64_q85.png|fr|10|10
filet|filet|noun|2|file:///sdcard/acc_icons/2316_2.png.64x64_q85.png|fr|10|10
filet de viande|filet de viande|noun|2|file:///sdcard/acc_icons/2316_2.png.64x64_q85.png|fr|10|10
maison|maison|noun|2|file:///sdcard/acc_icons/2317_2.png.64x64_q85.png|fr|13|13
logement|logement|noun|2|file:///sdcard/acc_icons/2317_2.png.64x64_q85.png|fr|13|13
immeuble|immeuble|noun|2|file:///sdcard/acc_icons/2317_2.png.64x64_q85.png|fr|13|13
adresse|adresse|noun|2|file:///sdcard/acc_icons/2317_2.png.64x64_q85.png|fr|13|13
castagnettes|castagnettes|noun|2|file:///sdcard/acc_icons/2318_2.png.64x64_q85.png|fr|0|
instrument musical|instrument musical|noun|2|file:///sdcard/acc_icons/2318_2.png.64x64_q85.png|fr|8|8
blouson|blouson|noun|2|file:///sdcard/acc_icons/2319_2.png.64x64_q85.png|fr|0|
ustensile de cuisine |ustensile de cuisine |noun|2|file:///sdcard/acc_icons/2320_2.png.64x64_q85.png|fr|8|8
louche|louche|noun|2|file:///sdcard/acc_icons/2320_2.png.64x64_q85.png|fr|0|
CD-Rom|CD-Rom|noun|2|file:///sdcard/acc_icons/2322_2.png.64x64_q85.png|fr|9|9
CD|CD|noun|2|file:///sdcard/acc_icons/2322_2.png.64x64_q85.png|fr|9|9
oignon|oignon|noun|2|file:///sdcard/acc_icons/2323_2.png.64x64_q85.png|fr|0|
zèbre|zebre|noun|2|file:///sdcard/acc_icons/2324_2.png.64x64_q85.png|fr|2|2
scotch|scotch|noun|2|file:///sdcard/acc_icons/2325_2.png.64x64_q85.png|fr|0|
se brosser les dents|se brosser les dents|verb|3|file:///sdcard/acc_icons/2326_2.png.64x64_q85.png|fr|0|
cochon|cochon|noun|2|file:///sdcard/acc_icons/2327_2.png.64x64_q85.png|fr|2|2
lard|lard|noun|2|file:///sdcard/acc_icons/2327_2.png.64x64_q85.png|fr|2|2
céréales|cereales|noun|2|file:///sdcard/acc_icons/2328_2.png.64x64_q85.png|fr|10|10
cerises|cerises|noun|2|file:///sdcard/acc_icons/2329_2.png.64x64_q85.png|fr|10|10
bière|biere|noun|2|file:///sdcard/acc_icons/2330_2.png.64x64_q85.png|fr|0|
champignons|champignons|noun|2|file:///sdcard/acc_icons/2331_2.png.64x64_q85.png|fr|0|
survêtement|survetement|noun|2|file:///sdcard/acc_icons/2332_2.png.64x64_q85.png|fr|4|4
cheminée|cheminee|noun|2|file:///sdcard/acc_icons/2333_2.png.64x64_q85.png|fr|0|
chocolat|chocolat|noun|2|file:///sdcard/acc_icons/2334_2.png.64x64_q85.png|fr|10|10
chorizo|chorizo|noun|2|file:///sdcard/acc_icons/2335_2.png.64x64_q85.png|fr|0|
ceinture|ceinture|noun|2|file:///sdcard/acc_icons/2336_2.png.64x64_q85.png|fr|4|4
courroie|courroie|noun|2|file:///sdcard/acc_icons/2336_2.png.64x64_q85.png|fr|4|4
cygne|cygne|noun|2|file:///sdcard/acc_icons/2337_2.png.64x64_q85.png|fr|0|
Coca-Cola|Coca-Cola|noun|2|file:///sdcard/acc_icons/2338_2.png.64x64_q85.png|fr|10|10
boisson fraîche|boisson fraiche|noun|2|file:///sdcard/acc_icons/2338_2.png.64x64_q85.png|fr|10|10
voiture|voiture|noun|2|file:///sdcard/acc_icons/2339_2.png.64x64_q85.png|fr|18|18
véhicule|vehicule|noun|2|file:///sdcard/acc_icons/2339_2.png.64x64_q85.png|fr|18|18
tourisme|tourisme|noun|2|file:///sdcard/acc_icons/2339_2.png.64x64_q85.png|fr|18|18
voiture pour enfants|voiture pour enfants|noun|2|file:///sdcard/acc_icons/2340_2.png.64x64_q85.png|fr|0|
cuisine|cuisine|noun|2|file:///sdcard/acc_icons/2341_2.png.64x64_q85.png|fr|11|11,13
cuisiner|cuisiner|verb|3|file:///sdcard/acc_icons/2342_2.png.64x64_q85.png|fr|19|19
rôtir|rotir|verb|3|file:///sdcard/acc_icons/2342_2.png.64x64_q85.png|fr|19|19
crocodile|crocodile|noun|2|file:///sdcard/acc_icons/2343_2.png.64x64_q85.png|fr|0|
fusée|fusee|noun|2|file:///sdcard/acc_icons/2344_2.png.64x64_q85.png|fr|18|18
vaisseau spatial|vaisseau spatial|noun|2|file:///sdcard/acc_icons/2344_2.png.64x64_q85.png|fr|18|18
passoire|passoire|noun|2|file:///sdcard/acc_icons/2345_2.png.64x64_q85.png|fr|0|
matelas gonflable|matelas gonflable|noun|2|file:///sdcard/acc_icons/2346_2.png.64x64_q85.png|fr|8|8
collier|collier|noun|2|file:///sdcard/acc_icons/2347_2.png.64x64_q85.png|fr|4|4
colorier|colorier|verb|3|file:///sdcard/acc_icons/2348_2.png.64x64_q85.png|fr|0|
peindre|peindre|verb|3|file:///sdcard/acc_icons/2348_2.png.64x64_q85.png|fr|19|19
manger|manger|verb|3|file:///sdcard/acc_icons/2349_2.png.64x64_q85.png|fr|19|19
cerf-volant|cerf-volant|noun|2|file:///sdcard/acc_icons/2350_2.png.64x64_q85.png|fr|0|
lapin|lapin|noun|2|file:///sdcard/acc_icons/2351_2.png.64x64_q85.png|fr|2|2
s'être trompé|s'etre trompe|adjective|4|file:///sdcard/acc_icons/2352_2.png.64x64_q85.png|fr|0|
confus|confus|adjective|4|file:///sdcard/acc_icons/2352_2.png.64x64_q85.png|fr|0|
confondre|confondre|verb|3|file:///sdcard/acc_icons/2352_2.png.64x64_q85.png|fr|0|
concierge|concierge|noun|2|file:///sdcard/acc_icons/2353_2.png.64x64_q85.png|fr|0|
console|console|noun|2|file:///sdcard/acc_icons/2354_2.png.64x64_q85.png|fr|0|
benne|benne|noun|2|file:///sdcard/acc_icons/2355_2.png.64x64_q85.png|fr|0|
verre|verre|noun|2|file:///sdcard/acc_icons/2356_2.png.64x64_q85.png|fr|8|8,14
rideaux|rideaux|noun|2|file:///sdcard/acc_icons/2357_2.png.64x64_q85.png|fr|0|
croissant|croissant|noun|2|file:///sdcard/acc_icons/2358_2.png.64x64_q85.png|fr|10|10
cahier|cahier|noun|2|file:///sdcard/acc_icons/2359_2.png.64x64_q85.png|fr|0|
tableau|tableau|noun|2|file:///sdcard/acc_icons/2360_2.png.64x64_q85.png|fr|8|8,9
oeuvre|oeuvre|noun|2|file:///sdcard/acc_icons/2360_2.png.64x64_q85.png|fr|0|
sceau et pelle|sceau et pelle|noun|2|file:///sdcard/acc_icons/2361_2.png.64x64_q85.png|fr|0|
sceau|sceau|noun|2|file:///sdcard/acc_icons/2361_2.png.64x64_q85.png|fr|11|11
pelle|pelle|noun|2|file:///sdcard/acc_icons/2361_2.png.64x64_q85.png|fr|11|11
cuillère|cuillere|noun|2|file:///sdcard/acc_icons/2362_2.png.64x64_q85.png|fr|8|8
conte|conte|noun|2|file:///sdcard/acc_icons/2364_2.png.64x64_q85.png|fr|8|8
tablier|tablier|noun|2|file:///sdcard/acc_icons/2366_2.png.64x64_q85.png|fr|4|4
faire mal|faire mal|verb|3|file:///sdcard/acc_icons/2367_2.png.64x64_q85.png|fr|16|16
douleur|douleur|noun|2|file:///sdcard/acc_icons/2367_2.png.64x64_q85.png|fr|16|16
mal de tête|mal de tete|noun|2|file:///sdcard/acc_icons/2367_2.png.64x64_q85.png|fr|16|16
bobo|bobo|noun|2|file:///sdcard/acc_icons/2367_2.png.64x64_q85.png|fr|16|16
souffrir|souffrir|verb|3|file:///sdcard/acc_icons/2367_2.png.64x64_q85.png|fr|16|16
supporter|supporter|verb|3|file:///sdcard/acc_icons/2367_2.png.64x64_q85.png|fr|16|16
forte douleur|forte douleur|noun|2|file:///sdcard/acc_icons/2367_2.png.64x64_q85.png|fr|16|16
donuts|donuts|noun|2|file:///sdcard/acc_icons/2368_2.png.64x64_q85.png|fr|0|
donut|donut|noun|2|file:///sdcard/acc_icons/2368_2.png.64x64_q85.png|fr|0|
dormir|dormir|verb|3|file:///sdcard/acc_icons/2369_2.png.64x64_q85.png|fr|19|19
douche|douche|noun|2|file:///sdcard/acc_icons/2370_2.png.64x64_q85.png|fr|13|13
se doucher|se doucher|verb|3|file:///sdcard/acc_icons/2371_2.png.64x64_q85.png|fr|0|
doucher|doucher|verb|3|file:///sdcard/acc_icons/2371_2.png.64x64_q85.png|fr|0|
éléphant|elephant|noun|2|file:///sdcard/acc_icons/2372_2.png.64x64_q85.png|fr|2|2
prise de courant|prise de courant|noun|2|file:///sdcard/acc_icons/2373_2.png.64x64_q85.png|fr|0|
fâché|fache|adjective|4|file:///sdcard/acc_icons/2374_2.png.64x64_q85.png|fr|16|16
vexé|vexe|adjective|4|file:///sdcard/acc_icons/2374_2.png.64x64_q85.png|fr|16|16
furieux|furieux|adjective|4|file:///sdcard/acc_icons/2374_2.png.64x64_q85.png|fr|16|16
se facher|se facher|verb|3|file:///sdcard/acc_icons/2374_2.png.64x64_q85.png|fr|16|16
mettre en colère|mettre en colere|verb|3|file:///sdcard/acc_icons/2374_2.png.64x64_q85.png|fr|16|16
irriter|irriter|verb|3|file:///sdcard/acc_icons/2374_2.png.64x64_q85.png|fr|16|16
irrité|irrite|adjective|4|file:///sdcard/acc_icons/2374_2.png.64x64_q85.png|fr|16|16
colère|colere|noun|2|file:///sdcard/acc_icons/2374_2.png.64x64_q85.png|fr|16|16
expression|expression|noun|2|file:///sdcard/acc_icons/2374_2.png.64x64_q85.png|fr|16|16
infirmière|infirmiere|noun|2|file:///sdcard/acc_icons/2375_2.png.64x64_q85.png|fr|12|12
Auxiliaire Médical|Auxiliaire Medical|noun|2|file:///sdcard/acc_icons/2375_2.png.64x64_q85.png|fr|12|12
malade|malade|adjective|4|file:///sdcard/acc_icons/2376_2.png.64x64_q85.png|fr|16|16
tomber malade|tomber malade|verb|3|file:///sdcard/acc_icons/2376_2.png.64x64_q85.png|fr|16|16
maladie|maladie|noun|2|file:///sdcard/acc_icons/2376_2.png.64x64_q85.png|fr|16|16
patient|patient|noun|2|file:///sdcard/acc_icons/2376_2.png.64x64_q85.png|fr|16|16
salade|salade|noun|2|file:///sdcard/acc_icons/2377_2.png.64x64_q85.png|fr|10|10
chaîne hi-fi|chaine hi-fi|noun|2|file:///sdcard/acc_icons/2378_2.png.64x64_q85.png|fr|0|
escalier|escalier|noun|2|file:///sdcard/acc_icons/2379_2.png.64x64_q85.png|fr|13|13
escaliers|escaliers|noun|2|file:///sdcard/acc_icons/2379_2.png.64x64_q85.png|fr|13|13
écrire|ecrire|verb|3|file:///sdcard/acc_icons/2380_2.png.64x64_q85.png|fr|19|19
écriture|ecriture|noun|2|file:///sdcard/acc_icons/2380_2.png.64x64_q85.png|fr|19|19
écouter|ecouter|verb|3|file:///sdcard/acc_icons/2381_2.png.64x64_q85.png|fr|19|19
entendre|entendre|verb|3|file:///sdcard/acc_icons/2381_2.png.64x64_q85.png|fr|19|19
spaghettis|spaghettis|noun|2|file:///sdcard/acc_icons/2383_2.png.64x64_q85.png|fr|0|
asperge|asperge|noun|2|file:///sdcard/acc_icons/2384_2.png.64x64_q85.png|fr|0|
miroir|miroir|noun|2|file:///sdcard/acc_icons/2385_2.png.64x64_q85.png|fr|8|8
